station_id,date,t_min,t_max,t_mean
IUNG1,2025-11-18,1.3,4.0,2.65
IUNG1,2025-11-19,-1.0,5.1,2.05
IUNG1,2025-11-20,-1.4,3.6,1.1
IUNG1,2025-11-21,-0.3,1.6,0.65
IUNG1,2025-11-22,-1.3,0.9,-0.2
IUNG1,2025-11-23,-1.8,0.0,-0.9
IUNG1,2025-11-24,-4.6,1.3,-1.65
IUNG1,2025-11-25,0.0,2.6,1.3
IUNG1,2025-11-26,0.0,4.7,2.35
IUNG1,2025-11-27,0.4,2.2,1.3
IUNG1,2025-11-28,-2.2,2.5,0.15
IUNG1,2025-11-29,1.5,3.5,2.5
IUNG1,2025-11-30,0.0,5.3,2.65
IUNG1,2025-12-01,0.0,4.6,2.3
IUNG1,2025-12-02,0.0,5.1,2.55
IUNG1,2025-12-03,0.0,5.0,2.5
IUNG1,2025-12-04,0.0,7.0,3.5
IUNG1,2025-12-05,4.8,9.9,7.35
IUNG1,2025-12-06,0.0,6.4,3.2
IUNG1,2025-12-07,0.0,3.4,1.7
IUNG1,2025-12-08,0.0,7.0,3.5
IUNG1,2025-12-09,0.0,9.7,4.85
IUNG1,2025-12-10,0.0,9.4,4.7
IUNG1,2025-12-11,6.8,10.2,8.5
IUNG1,2025-12-12,0.0,7.4,3.7
IUNG1,2025-12-13,1.3,5.4,3.35
IUNG1,2025-12-14,0.0,6.1,3.05
IUNG1,2025-12-15,-0.5,3.2,1.35
IUNG1,2025-12-16,-2.3,3.1,0.4
IUNG1,2025-12-17,-0.3,8.9,4.3
IUNG1,2025-12-18,-0.6,3.2,1.3
IUNG1,2025-12-19,0.3,5.8,3.05
IUNG1,2025-12-20,-0.5,2.3,0.9
IUNG1,2025-12-21,0.0,3.6,1.8
IUNG1,2025-12-22,0.0,2.6,1.3
IUNG1,2025-12-23,-1.9,2.3,0.2
IUNG1,2025-12-24,-10.3,-1.7,-6.0
IUNG1,2025-12-25,-11.7,0.0,-5.85
IUNG1,2025-12-26,-7.3,0.5,-3.4
IUNG1,2025-12-27,-0.6,1.5,0.45
IUNG1,2025-12-28,0.0,1.9,0.95
IUNG1,2025-12-29,-2.1,1.1,-0.5
IUNG1,2025-12-30,-3.2,0.0,-1.6
